chip_id	generated	forwarded	local_drops	passthrough_drops	total_drops	enq_local_ok	enq_neigh_ok	fifo_peak_observed
0	5068	49994	0	5004	5004	5068	44990	64
1	4970	49994	0	4906	4906	4970	45088	64
2	4926	49994	0	4863	4863	4926	45132	64
3	4978	49995	0	4915	4915	4978	45081	64
4	4910	49996	0	4527	4527	4910	45150	64
5	4891	29919	0	0	0	4891	25028	8
6	5072	34991	0	0	0	5072	29919	11
7	4974	39963	0	0	0	4974	34991	22
8	5029	44990	0	0	0	5029	39963	27
9	4928	49677	0	207	207	4928	44783	64
10	5069	25028	0	0	0	5069	19959	5
11	4898	19959	0	0	0	4898	15062	4
12	4970	15062	0	0	0	4970	10092	4
13	5124	10092	0	0	0	5124	4968	4
14	4968	4968	0	0	0	4968	0	1
